,"GO:0005741,mitochondrial outer membrane","GO:0005740,mitochondrial envelope","GO:0005758,mitochondrial intermembrane space","GO:0098798,mitochondrial protein complex","GO:0098573,intrinsic component of mitochondrial membrane","GO:0098799,outer mitochondrial membrane protein complex","GO:0031966,mitochondrial membrane","GO:0051646,mitochondrion localization","GO:0051654,establishment of mitochondrion localization","GO:0005654,nucleoplasm","GO:0030479, actin cortical patch","Cdc28, goldstandard_hits","GO:0005618, cell wall "," GO:0006974, cellular response to DNA damage stimulus","GO:0010494, cytoplasmic stress granule","GO:0005576, extracellular region","GO:0035556, intracellular signal transduction","inviable, yeast","Mitchell2012, parkermrnps","GO:0005743, mitochondrial inner membrane","GO:0005759, mitochondrial matrix","GO:0005739, mitochondrion","GO:0003729, mRNA binding","GO:0005643, nuclear pore","GO:0005730, nucleolus","GO:0000932, P body","GO:0004672, protein kinase activity","respiratory, growth  decreased rate","GO:0042254, ribosome biogenesis","RNA accumulation, increased","GO:0006364, rRNA processing","GO:0043565, sequence specific DNA binding","Wallace2015, heatagg"
AA_A,NA,NA,NA,NA,NA,-0.734360015411621,NA,NA,NA,NA,NA,-3.05739612683215,NA,NA,NA,NA,-3.36481004717668,NA,NA,NA,3.5199423660723,NA,NA,-2.64103107318127,NA,NA,-3.85273960186996,NA,NA,NA,NA,NA,NA
AA_G,NA,NA,NA,NA,NA,NA,NA,NA,1.61320381346437E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AA_H,NA,NA,NA,NA,NA,NA,NA,1.97141520767646,NA,NA,NA,NA,NA,NA,NA,NA,5.92188959870392,-5.14706000243673,NA,NA,NA,NA,NA,-5.03862664496003,NA,NA,5.80945599828227,NA,NA,NA,NA,2.03733015648258,NA
AA_N,NA,NA,-0.918091763194546,NA,NA,NA,NA,NA,NA,NA,-1.38134715813743,NA,-0.434894405918236,NA,NA,0.014940823839154,NA,NA,NA,NA,-0.311409405967756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.92431398597217,NA
AA_P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.644549050745656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.686380731581436,NA,NA,NA,NA,NA,NA,NA,NA,NA
AA_Q,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AA_S,NA,60.5678165250545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.34500661505951,-2.77935195308251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.324965540797524,NA,NA,NA
AA_T,NA,24.0654563960637,NA,NA,NA,-0.521850030913308,NA,-1.03331903103665,NA,NA,NA,NA,NA,NA,-5.43148501042753,NA,NA,-3.42254037686863,-4.86183331501859,NA,NA,NA,-5.82522424260714,NA,-6.77987403871862,-3.65621287063239,NA,NA,-3.91217612534418,-3.54487029361986,-5.63170046672218,NA,-5.15485125227168
acidic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
aliphatic,NA,NA,-0.293290804060697,NA,1.69187323521872,NA,NA,NA,7.39394734180784E-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.79595562907012,3.50130037129961,NA,2.69533371875282,NA,0.328281433441655,NA,NA,NA,2.46571159688157,NA,NA,NA,NA,NA
