idr_name,NAME,"GO:0005654,nucleoplasm","GO:0005730,nucleolus","GO:0005739,mitochondrion","GO:0005740,mitochondrial envelope","GO:0005741,mitochondrial outer membrane","GO:0005758,mitochondrial intermembrane space","GO:0031966,mitochondrial membrane","GO:0035556,intracellular signal transduction","GO:0051646,mitochondrion localization","GO:0051654,establishment of mitochondrion localization","GO:0098573,intrinsic component of mitochondrial membrane","GO:0098798,mitochondrial protein complex","GO:0098799,outer mitochondrial membrane protein complex"
YAL001C_idr_2,TFC3,1,0,1,0,0,0,0,0,0,0,0,0,0
YAL001C_idr_3,TFC3,1,0,1,0,0,0,0,0,0,0,0,0,0
YAL001C_idr_5,TFC3,1,0,1,0,0,0,0,0,0,0,0,0,0
YAL002W_idr_1,VPS8,0,0,0,0,0,0,0,0,0,0,0,0,0
YAL009W_idr_1,SPO7,0,0,0,0,0,0,0,0,0,0,0,0,0
YAL010C_idr_2,MDM10,0,0,0,0,1,1,1,0,1,1,1,1,1
YAL011W_idr_1,SWC3,0,0,1,0,0,0,0,0,0,0,0,0,0
YAL011W_idr_3,SWC3,0,0,1,0,0,0,0,0,0,0,0,0,0
YAL011W_idr_4,SWC3,0,0,1,0,0,0,0,0,0,0,0,0,0
YAL013W_idr_1,DEP1,0,0,0,0,0,0,0,0,0,0,0,0,0
YAL014C_idr_2,SYN8,0,0,0,0,0,0,0,0,0,0,0,0,0
YAL015C_idr_1,NTG1,0,0,0,0,0,0,0,0,0,0,0,0,0
YAL017W_idr_1,PSK1,0,0,0,0,0,0,0,1,0,0,0,0,0
YAL017W_idr_11,PSK1,0,0,0,0,0,0,0,1,0,0,0,0,0
YAL017W_idr_7,PSK1,0,0,0,0,0,0,0,1,0,0,0,0,0
YAL017W_idr_9,PSK1,0,0,0,0,0,0,0,1,0,0,0,0,0
YAL019W_idr_1,FUN30,0,0,1,0,0,0,0,0,0,0,0,0,0
YAL019W_idr_4,FUN30,0,0,1,0,0,0,0,0,0,0,0,0,0
YAL019W_idr_5,FUN30,0,0,1,0,0,0,0,0,0,0,0,0,0
YAL019W_idr_8,FUN30,0,0,1,0,0,0,0,0,0,0,0,0,0
YAL021C_idr_1,CCR4,0,0,0,0,0,0,0,0,0,0,0,0,0
YAL021C_idr_5,CCR4,0,0,0,0,0,0,0,0,0,0,0,0,0
YAL022C_idr_1,FUN26,0,0,0,0,0,0,0,0,0,0,0,0,0
YAL023C_idr_1,PMT2,0,0,0,0,0,0,0,0,0,0,0,0,0
YAL024C_idr_3,LTE1,0,0,0,0,0,0,0,1,0,0,0,0,0
YAL024C_idr_5,LTE1,0,0,0,0,0,0,0,1,0,0,0,0,0
YAL024C_idr_8,LTE1,0,0,0,0,0,0,0,1,0,0,0,0,0
YAL024C_idr_9,LTE1,0,0,0,0,0,0,0,1,0,0,0,0,0
YAL025C_idr_3,MAK16,0,1,0,0,0,0,0,0,0,0,0,0,0
YAL026C_idr_1,DRS2,0,0,0,0,0,0,0,0,0,0,0,0,0
YAL026C_idr_5,DRS2,0,0,0,0,0,0,0,0,0,0,0,0,0
YAL028W_idr_5,FRT2,0,0,0,0,0,0,0,0,0,0,0,0,0
YAL029C_idr_9,MYO4,0,0,1,0,0,0,0,0,0,0,0,0,0
YAL031C_idr_2,GIP4,0,0,0,0,0,0,0,0,0,0,0,0,0
YAL031C_idr_3,GIP4,0,0,0,0,0,0,0,0,0,0,0,0,0
YAL032C_idr_2,PRP45,0,0,0,0,0,0,0,0,0,0,0,0,0
YAL032C_idr_6,PRP45,0,0,0,0,0,0,0,0,0,0,0,0,0
YAL032C_idr_8,PRP45,0,0,0,0,0,0,0,0,0,0,0,0,0
YAL034C_idr_2,FUN19,0,0,0,0,0,0,0,0,0,0,0,0,0
YAL034C_idr_4,FUN19,0,0,0,0,0,0,0,0,0,0,0,0,0
YAL035W_idr_1,FUN12,0,0,0,0,0,0,0,0,0,0,0,0,0
YAL035W_idr_4,FUN12,0,0,0,0,0,0,0,0,0,0,0,0,0
YAL039C_idr_1,CYC3,0,0,0,0,0,0,0,0,0,0,0,0,0
YAL040C_idr_1,CLN3,0,0,0,0,0,0,0,0,0,0,0,0,0
YAL040C_idr_3,CLN3,0,0,0,0,0,0,0,0,0,0,0,0,0
YAL041W_idr_1,CDC24,0,0,0,0,0,0,0,1,0,0,0,0,0
YAL041W_idr_13,CDC24,0,0,0,0,0,0,0,1,0,0,0,0,0
YAL041W_idr_7,CDC24,0,0,0,0,0,0,0,1,0,0,0,0,0
YAL043C_idr_2,PTA1,0,0,0,0,0,0,0,0,0,0,0,0,0
YAL043C_idr_7,PTA1,0,0,0,0,0,0,0,0,0,0,0,0,0
YAL044C_idr_1,GCV3,0,0,0,0,0,0,0,0,0,0,0,0,0
YAL046C_idr_1,BOL3,0,0,0,0,0,0,0,0,0,0,0,0,0
