IDRname,systematic name,"GO:0006974, name: cellular response to DNA damage stimulus","GO:0035556, name: intracellular signal transduction","GO:0004672, name: protein kinase activity","GO:0030479, name: actin cortical patch","GO:0005618, name: cell wall","GO:0005643, name: nuclear pore","GO:0010494, name: cytoplasmic stress granule","GO:0003729, name: mRNA binding","GO:0042254, name: ribosome biogenesis","GO:0006364, name: rRNA processing","GO:0043565, name: sequence-specific DNA binding","GO:0005759, name: mitochondrial matrix","GO:0005743, name: mitochondrial inner membrane"
YAL001C_idr_2,YAL001C,0,0,0,0,0,0,0,0,0,0,0,0,0
YAL001C_idr_3,YAL001C,0,0,0,0,0,0,0,0,0,0,0,0,0
YAL001C_idr_5,YAL001C,0,0,0,0,0,0,0,0,0,0,0,0,0
YAL002W_idr_1,YAL002W,0,0,0,0,0,0,0,0,0,0,0,0,0
YAL009W_idr_1,YAL009W,0,0,0,0,0,0,0,0,0,0,0,0,0
YAL010C_idr_2,YAL010C,0,0,0,0,0,0,0,0,0,0,0,0,0
YAL011W_idr_1,YAL011W,0,0,0,0,0,0,0,0,0,0,0,0,0
YAL011W_idr_3,YAL011W,0,0,0,0,0,0,0,0,0,0,0,0,0
YAL011W_idr_4,YAL011W,0,0,0,0,0,0,0,0,0,0,0,0,0
YAL013W_idr_1,YAL013W,0,0,0,0,0,0,0,0,0,0,0,0,0
YAL014C_idr_2,YAL014C,0,0,0,0,0,0,0,0,0,0,0,0,0
YAL015C_idr_1,YAL015C,1,0,0,0,0,0,0,0,0,0,0,0,0
YAL017W_idr_1,YAL017W,0,1,0,0,0,0,0,0,0,0,0,0,0
YAL017W_idr_11,YAL017W,0,1,0,0,0,0,0,0,0,0,0,0,0
YAL017W_idr_7,YAL017W,0,1,0,0,0,0,0,0,0,0,0,0,0
YAL017W_idr_9,YAL017W,0,1,0,0,0,0,0,0,0,0,0,0,0
YAL019W_idr_1,YAL019W,0,0,0,0,0,0,0,0,0,0,0,0,0
YAL019W_idr_4,YAL019W,0,0,0,0,0,0,0,0,0,0,0,0,0
YAL019W_idr_5,YAL019W,0,0,0,0,0,0,0,0,0,0,0,0,0
YAL019W_idr_8,YAL019W,0,0,0,0,0,0,0,0,0,0,0,0,0
YAL021C_idr_1,YAL021C,0,0,0,0,0,0,0,0,0,0,0,0,0
YAL021C_idr_5,YAL021C,0,0,0,0,0,0,0,0,0,0,0,0,0
YAL022C_idr_1,YAL022C,0,0,0,0,0,0,0,0,0,0,0,0,0
YAL023C_idr_1,YAL023C,0,0,0,0,0,0,0,0,0,0,0,0,0
YAL024C_idr_3,YAL024C,0,1,0,0,0,0,0,0,0,0,0,0,0
YAL024C_idr_5,YAL024C,0,1,0,0,0,0,0,0,0,0,0,0,0
YAL024C_idr_8,YAL024C,0,1,0,0,0,0,0,0,0,0,0,0,0
YAL024C_idr_9,YAL024C,0,1,0,0,0,0,0,0,0,0,0,0,0
YAL025C_idr_3,YAL025C,0,0,0,0,0,0,0,0,0,1,0,0,0
YAL026C_idr_1,YAL026C,0,0,0,0,0,0,0,0,0,0,0,0,0
YAL026C_idr_5,YAL026C,0,0,0,0,0,0,0,0,0,0,0,0,0
YAL028W_idr_5,YAL028W,0,0,0,0,0,0,0,0,0,0,0,0,0
YAL029C_idr_9,YAL029C,0,0,0,0,0,0,0,0,0,0,0,0,0
YAL031C_idr_2,YAL031C,0,0,0,0,0,0,0,0,0,0,0,0,0
YAL031C_idr_3,YAL031C,0,0,0,0,0,0,0,0,0,0,0,0,0
YAL032C_idr_2,YAL032C,0,0,0,0,0,0,0,0,0,0,0,0,0
YAL032C_idr_6,YAL032C,0,0,0,0,0,0,0,0,0,0,0,0,0
YAL032C_idr_8,YAL032C,0,0,0,0,0,0,0,0,0,0,0,0,0
YAL034C_idr_2,YAL034C,0,0,0,0,0,0,0,0,0,0,0,0,0
YAL034C_idr_4,YAL034C,0,0,0,0,0,0,0,0,0,0,0,0,0
YAL035W_idr_1,YAL035W,0,0,0,0,0,0,1,0,0,0,0,0,0
YAL035W_idr_4,YAL035W,0,0,0,0,0,0,1,0,0,0,0,0,0
