YMR056C	P04710	S000004660
YBR085W	P18238	S000000289
YJR155W	P47182	S000003916
YNL331C	P42884	S000005275
YOL165C	Q08361	S000005525
YPL088W	Q02895	S000006009
YCR107W	P25612	S000000704
YDL243C	Q07747	S000002402
YFL056C	P43547	S000001838
YNL141W	P53909	S000005085
YHR047C	P37898	S000001089
YBL074C	P32357	S000000170
YKL106W	Q01802	S000001589
YLR027C	P23542	S000004017
YBR236C	P32783	S000000440
YKL112W	P14164	S000001595
YMR072W	Q02486	S000004676
YJR108W	P47146	S000003869
YCR088W	P15891	S000000684
YOR239W	Q08641	S000005765
YNR033W	P37254	S000005316
YMR289W	Q03266	S000004902
YER045C	P39970	S000000847
YGR037C	P31787	S000003269
YNR016C	Q00955	S000005299
YLR131C	P21192	S000004121
YLR144C	Q12168	S000004134
YJR083C	P47129	S000003843
YBL015W	P32316	S000000111
YDL203C	Q07622	S000002362
YDR161W	Q03771	S000002568
YPL267W	Q08981	S000006188
YLR304C	P19414	S000004295
YJL200C	P39533	S000003736
YKL192C	P32463	S000001675
YAL054C	Q01574	S000000050
YLR153C	P52910	S000004143
YFL039C	P60010	S000001855
YDR448W	Q02336	S000002856
YMR184W	Q03233	S000004796
YKL206C	P36040	S000001689
YAR015W	P27616	S000000070
YNL220W	P80210	S000005164
YLR359W	Q05911	S000004351
YLR028C	P54113	S000004018
YMR120C	P38009	S000004727
YOR128C	P21264	S000005654
YGR204W	P07245	S000003436
YMR300C	P04046	S000004915
YGL234W	P07244	S000003203
YGR061C	P38972	S000003293
YDR408C	P04161	S000002816
YCL058W-A	Q2V2Q1	S000028518
YOL086C	P00330	S000005446
YMR303C	P00331	S000004918
YMR083W	P07246	S000004688
YGL256W	P10127	S000003225
YBR145W	P38113	S000000349
YMR318C	Q04894	S000004937
YCR105W	P25377	S000000702
YMR009W	Q03677	S000004611
YDR226W	P07170	S000002634
YER170W	P26364	S000000972
YJR105W	P47143	S000003866
YCR011C	P25371	S000000604
YDR216W	P07248	S000002624
YCR010C	P25613	S000000603
YDL239C	Q07732	S000002398
YLR227C	Q05955	S000004217
YMR064W	P32493	S000004668
YMR282C	P22136	S000004895
YPL005W	Q12089	S000005926
YLR040C	Q07988	S000004030
YEL052W	P32317	S000000778
YLR397C	P32794	S000004389
YER017C	P39925	S000000819
YOR129C	Q99222	S000005655
YDR085C	P33304	S000002492
YGL071W	P22149	S000003039
YPL202C	Q08957	S000006123
YNR044W	P32323	S000005327
YGL032C	P32781	S000003000
YPR021C	Q12482	S000006225
YDR524C	Q04412	S000002932
YIL044C	P40529	S000001306
YCL025C	P25376	S000000530
YBR132C	P38090	S000000336
YFL055W	P43548	S000001839
YFL030W	P43567	S000001864
YDR214W	Q12449	S000002622
YOR023C	Q12433	S000005549
YCR082W	P25649	S000000678
YLR109W	P38013	S000004099
YHR093W	P29589	S000001135
Q0050	P03875	S000007261
Q0055	P03876	S000007262
Q0060	P03877	S000007263
Q0065	P03878	S000007264
Q0070	Q9ZZX1	S000007265
Q0075	Q9ZZX0	S000007266
YNR074C	P52923	S000005357
YER087W	P39965	S000000889
YER093C-A	P87275	S000002960
YGL160W	P53109	S000003128
YHL021C	P23180	S000001013
YHR198C	P38884	S000001241
YIL087C	P40502	S000001349
YAL049C	P39721	S000000047
YIL158W	P40451	S000001420
YIR003W	P40563	S000001442
YJL046W	P47051	S000003582
YJL131C	P47015	S000003667
YJR080C	P47127	S000003841
YJR100C	P47140	S000003861
YKL037W	P32858	S000001520
YKR074W	P36154	S000001782
YBR108W	P38266	S000000312
YML050W	Q04689	S000004514
YML087C	Q04516	S000004552
YMR003W	Q03673	S000004605
YMR157C	Q03798	S000004766
YOL053W	Q08223	S000005414
YOR215C	Q12032	S000005741
YPL158C	Q99299	S000006079
YPR004C	Q12480	S000006208
YHR199C	P38885	S000001242
YBR194W	P38305	S000000398
