idr_name,NAME,"GO:1903214,regulation of protein targeting to mitochondrion","GO:0006626,protein targeting to mitochondrion","GO:0006613,cotranslational protein targeting to membrane","GO:1903955,positive regulation of protein targeting to mitochondrion","GO:0005739,mitochondrion","GO:0005743,mitochondrial inner membrane","GO:0005759,mitochondrial matrix","GO:0005741,mitochondrial outer membrane","GO:0005740,mitochondrial envelope","GO:0005758,mitochondrial intermembrane space","GO:0098798,mitochondrial protein complex","GO:0098573,intrinsic component of mitochondrial membrane","GO:0098799,outer mitochondrial membrane protein complex","GO:0031966,mitochondrial membrane","GO:0051646,mitochondrion localization","GO:0051654,establishment of mitochondrion localization","GO:0005730,nucleolus","GO:0005654, nucleoplasm"
HUMAN00009_1to68,Q9Y3T9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
HUMAN00009_633to749,Q9Y3T9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
HUMAN00009_92to145,Q9Y3T9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
HUMAN00010_1to65,Q6TDP4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00012_1to47,Q494U1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
HUMAN00012_318to611,Q494U1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
HUMAN00013_1to608,Q5SV97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00013_668to702,Q5SV97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00016_1281to1328,O00468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00016_997to1091,O00468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00017_166to249,E7ERA6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00017_1to45,E7ERA6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00018_174to380,Q96HA4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMAN00021_1to153,Q6ZVT0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
