Entry,Entry name,Status,Protein names,Gene names,Organism,Length,GO
P38930,CSK2C_YEAST,reviewed,Casein kinase II subunit beta' (CK II beta'),CKB2 YOR039W OR26.32,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),258,GO:0006974
A6ZZR2,DEF1_YEAS7,reviewed,RNA polymerase II degradation factor 1 (RRM3-interacting protein 1),DEF1 RIP1 VID31,Saccharomyces cerevisiae (strain YJM789) (Baker's yeast),733,GO:0006974
P38147,CHK1_YEAST,reviewed,Serine/threonine-protein kinase CHK1 (EC 2.7.11.1) (Checkpoint kinase 1),CHK1 YBR274W YBR1742,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),527,GO:0006974
P22516,CHL1_YEAST,reviewed,ATP-dependent DNA helicase CHL1 (EC 3.6.4.12) (Chromosome loss protein 1) (Chromosome transmission fidelity protein 1),CHL1 CTF1 YPL008W YP8132.05,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),861,GO:0006974
Q02336,ADA2_YEAST,reviewed,Transcriptional adapter 2,ADA2 YDR448W D9461.33,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),434,GO:0006974
P80428,ARP4_YEAST,reviewed,Actin-related protein 4 (Actin-like protein ARP4) (Actin-like protein 4),ARP4 ACT3 YJL081C J1012,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),489,GO:0006974
P38207,APN2_YEAST,reviewed,DNA-(apurinic or apyrimidinic site) endonuclease 2 (EC 3.1.-.-) (AP endonuclease 2) (Apurinic-apyrimidinic endonuclease 2),APN2 ETH1 YBL019W YBL0443,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),520,GO:0006974
Q08032,CDC45_YEAST,reviewed,Cell division control protein 45,CDC45 SLD4 YLR103C L8004.11,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),650,GO:0006974
P19454,CSK22_YEAST,reviewed,Casein kinase II subunit alpha' (CK II) (EC 2.7.11.1),CKA2 YOR061W YOR29-12,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),339,GO:0006974
P43633,ALK1_YEAST,reviewed,Serine/threonine-protein kinase Haspin homolog ALK1 (EC 2.7.11.1) (DNA damage-responsive protein ALK1),ALK1 YGL021W G3686,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),760,GO:0006974
Q12386,ARP8_YEAST,reviewed,Actin-like protein ARP8,ARP8 YOR141C YOR3348C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),881,GO:0006974
P00546,CDK1_YEAST,reviewed,Cyclin-dependent kinase 1 (CDK1) (EC 2.7.11.22) (Cell division control protein 28) (Cell division protein kinase 1),CDC28 CDK1 HSL5 SRM5 YBR160W YBR1211,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),298,GO:0006974
Q12510,CMR1_YEAST,reviewed,DNA damage-binding protein CMR1 (Changed mutation rate protein 1),CMR1 YDL156W D1536,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),522,GO:0006974
P40028,YEN1_YEAST,reviewed,Holliday junction resolvase YEN1 (EC 3.1.-.-),YEN1 YER041W,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),759,GO:0006974
P38324,SLX1_YEAST,reviewed,Structure-specific endonuclease subunit SLX1 (EC 3.1.-.-) (Synthetic lethal of unknown function protein 1),SLX1 YBR228W YBR1525,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),304,GO:0006974
P54000,SUB1_YEAST,reviewed,RNA polymerase II transcriptional coactivator SUB1,SUB1 TSP1 YMR039C YM9532.04C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),292,GO:0006974
Q12206,WTM2_YEAST,reviewed,Transcriptional modulator WTM2,WTM2 YOR229W YOR50-19,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),467,GO:0006974
P38781,RSC30_YEAST,reviewed,Chromatin structure-remodeling complex protein RSC30 (Remodel the structure of chromatin complex subunit 30),RSC30 YHR056C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),883,GO:0006974
Q03940,RUVB1_YEAST,reviewed,RuvB-like protein 1 (RUVBL1) (EC 3.6.4.12) (TIP49-homology protein 1) (TIP49a homolog),RVB1 TIH1 TIP49A YDR190C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),463,GO:0006974
A6ZY43,SHU2_YEAS7,reviewed,Suppressor of hydroxyurea sensitivity protein 2,SHU2 SCY_0981,Saccharomyces cerevisiae (strain YJM789) (Baker's yeast),223,GO:0006974
E7NFN4,SHU2_YEASO,reviewed,Suppressor of hydroxyurea sensitivity protein 2,SHU2 FOSTERSO_0648,Saccharomyces cerevisiae (strain FostersO) (Baker's yeast),223,GO:0006974
P22082,SNF2_YEAST,reviewed,Transcription regulatory protein SNF2 (EC 3.6.4.-) (ATP-dependent helicase SNF2) (Regulatory protein GAM1) (Regulatory protein SWI2) (SWI/SNF complex component SNF2) (Transcription factor TYE3),SNF2 GAM1 RIC1 SWI2 TYE3 YOR290C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),1703,GO:0006974
P18480,SNF5_YEAST,reviewed,SWI/SNF chromatin-remodeling complex subunit SNF5 (SWI/SNF complex subunit SNF5) (Transcription factor TYE4) (Transcription regulatory protein SNF5),SNF5 SWI10 TYE4 YBR289W YBR2036,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),905,GO:0006974
P53227,YG1T_YEAST,reviewed,Uncharacterized protein YGR042W,YGR042W,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),271,GO:0006974
Q12464,RUVB2_YEAST,reviewed,RuvB-like protein 2 (RUVBL2) (EC 3.6.4.12) (TIP49-homology protein 2) (TIP49b homolog),RVB2 TIH2 TIP49B YPL235W P1060,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),471,GO:0006974
Q05471,SWR1_YEAST,reviewed,Helicase SWR1 (EC 3.6.4.12) (Swi2/Snf2-related 1),SWR1 YDR334W D9651.6,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),1514,GO:0006974
P52490,UBC13_YEAST,reviewed,Ubiquitin-conjugating enzyme E2 13 (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme 13) (Ubiquitin carrier protein 13) (Ubiquitin-protein ligase 13),UBC13 YDR092W YD6652.04,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),153,GO:0006974
B5VE38,RDH54_YEAS6,reviewed,DNA repair and recombination protein RDH54 (RAD homolog 54) (Recombination factor TID1) (Two hybrid interaction with DMC1 protein 1) [Includes: DNA topoisomerase (EC 5.99.1.-); Putative helicase (EC 3.6.4.12)],RDH54 TID1 AWRI1631_21610,Saccharomyces cerevisiae (strain AWRI1631) (Baker's yeast),924,GO:0006974
Q12188,REC8_YEAST,reviewed,Meiotic recombination protein REC8 (Cohesin REC8) (Sporulation protein 69),REC8 SPO69 YPR007C LPZ7C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),680,GO:0006974
